keyid,name,secid,sub_secid
12991,knit fabric mills,6560,6634
12990,curtain and linen mills,6560,6634
12989,textile and fabric finishing mills,6560,6634
12988,fiber| yarn| and thread mills,6560,6634
12987,apparel accessories,6560,6634
12986,hosiery and sock mills,6560,6634
12985,fabric coating mills,6560,6634
12984,leather and hide tanning and finishing,6560,6634
12983,carpet and rug mills,6560,6634
12982,broadwoven fabric mills,6560,6634
12981,women’s| girls’| and infants’ cut and sew apparel manufacturing,6560,6634
12980,women's handbag and purse manufacturing,6560,6634
12979,rope| cordage| twine| tire cord| and tire fabric mills,6560,6634
12978,furniture merchant wholesalers,6560,6625
12977,tire retreading,6559,6619
12976,synthetic rubber manufacturing,6559,6619
12975,tire manufacturing,6559,6619
12974,rubber and plastics hoses and belting manufacturing,6559,6619
12973,rubber product manufacturing for mechanical use,6559,6619
12972,support activities for rail transportation,6558,6614
12971,air traffic control,6558,6614
12970,ship building and repairing,6558,6616
12969,marine cargo handling,6558,6616
12968,boat building,6558,6616
12967,port and harbor operations,6558,6616
12966,navigational services to shipping,6558,6616
12965,railroad rolling stock manufacturing,6558,6611
12964,general freight trucking| long-distance| truckload  trucking| except local,6558,6612
12963,general freight trucking| long-distance| less than truckload  trucking| except local,6558,6612
12962,specialized freight  trucking| local  local trucking| without storage,6558,6612
12961,general freight trucking| local  local trucking| without storage,6558,6612
12960,specialized freight  trucking| long-distance  trucking| except local,6558,6612
12959,used household and office goods moving local trucking| without storage,6558,6612
12958,administration of human resource programs,6557,6605
12957,fuel dealers,6557,6598
12956,commercial air| rail| and water transportation equipment rental and leasing,6557,6598
12955,septic tank and related services,6557,6598
12954,construction| mining| and forestry machinery and equipment rental and leasing,6557,6598
12953,local messengers and local delivery courier services| except by air,6557,6598
12952,testing laboratories,6557,6598
12951,plumbing| heating| and air-conditioning contractors,6557,6598
12950,electrical contractors,6557,6598
12949,offices of notaries,6557,6598
12948,graphic design services,6557,6598
12947,industrial design services,6557,6598
12946,interior design services,6557,6598
12945,truck| utility trailer| and rv  rental and leasing,6557,6598
12944,drafting services,6557,6598
12943,administration of housing programs,6557,6598
12942,drywall and insulation contractors,6557,6598
12941,engineering services,6557,6598
12940,flooring contractors,6557,6598
12939,landscape architectural services,6557,6598
12938,administration of veterans' affairs,6557,6598
12937,painting and wall covering contractors,6557,6598
12936,offices of lawyers,6557,6598
12935,surveying and mapping  services,6557,6598
12934,geophysical surveying and mapping services,6557,6598
12933,office machinery and equipment rental and leasing,6557,6598
12932,electronic auctions,6557,6598
12931,building inspection services,6557,6598
12930,structural steel and precast concrete contractors,6557,6598
12929,motor vehicle towing,6557,6598
12928,framing contractors,6557,6598
12927,masonry contractors,6557,6598
12926,architectural services,6557,6598
12925,tile and terrazzo contractors,6557,6598
12924,poured concrete foundation and structure contractors,6557,6598
12923,finish carpentry contractors,6557,6598
12922,payroll services,6557,6598
12921,offices of certified public accountants,6557,6598
12920,musical instrument manufacturing,6557,6598
12919,fastener| button| needle| and pin manufacturing,6557,6598
12918,title abstract and settlement offices,6557,6598
12917,broom| brush| and mop manufacturing,6557,6598
